Crop,pH,EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Sulphur,Zinc,Iron,Copper,Manganese,Boron
Soybean,7.1,0.65,0.3,300,23,238,16,1.98,4.59,1.26,7.72,0.83
Bajra,5.55,0.13,0.76,590,44,181,57,1.48,2.86,0.91,1.54,0.28
Tur,8.35,0.32,0.66,552,30,515,8,0.86,4.27,1.75,4.15,1.3
Banana,7.3,0.22,1.02,238,24,314,34,0.28,6.23,1.41,3.72,1.03
Wheat,6.06,1.18,0.53,186,19,325,36,0.73,3.98,1.03,5.99,0.67
Onion,7.83,0.43,0.24,260,39,336,11,0.79,7.28,1.3,5.95,1.32
Groundnut,5.81,1.25,0.65,434,10,104,48,1.58,9.68,0.23,3.54,0.89
Jowar,6.58,0.64,1.08,572,27,403,6,0.92,5.07,0.15,6.94,0.29
Onion,6.51,1.27,0.51,270,5,481,51,1.89,9.89,1.19,5.34,0.42
Banana,6.73,1.08,0.25,305,39,276,58,0.93,9.0,0.17,6.25,0.35
Tomato,6.89,1.28,1.04,319,24,150,45,0.69,2.31,0.33,1.12,1.39
Bajra,7.57,0.94,0.52,268,20,393,29,1.83,7.26,0.88,3.09,0.39
Bajra,8.42,0.79,1.14,567,36,584,15,0.46,9.1,0.89,6.73,0.93
Soybean,8.4,1.12,0.22,218,10,309,29,0.82,6.2,1.79,3.36,1.02
Wheat,5.76,0.59,0.6,410,36,460,29,1.27,3.08,1.48,1.02,0.93
Sugarcane,5.96,1.25,1.03,296,39,110,18,0.78,6.28,1.43,6.84,0.62
Tomato,5.75,0.9,0.72,324,17,470,34,0.71,8.98,0.87,4.44,1.42
Groundnut,6.43,1.36,1.17,179,19,106,32,0.55,3.77,0.21,1.49,0.8
Gram,7.65,0.12,1.16,638,33,281,46,0.72,6.58,0.55,2.0,1.25
Onion,7.2,1.33,0.63,640,5,353,58,0.3,5.65,1.53,3.8,0.27
Bajra,6.88,1.27,0.54,334,40,487,29,0.67,9.08,1.19,2.49,0.57
Banana,7.79,0.83,0.85,477,28,385,59,1.09,4.53,0.13,3.53,0.83
Bajra,6.13,1.39,0.6,598,29,285,22,0.6,4.91,1.24,3.54,0.99
Sugarcane,5.54,0.81,0.28,217,42,405,58,1.44,5.3,0.94,1.46,0.35
Soybean,7.88,0.73,1.13,174,24,418,45,0.38,8.52,1.21,6.82,0.51
Bajra,5.86,0.31,0.8,353,9,126,13,1.7,8.12,0.31,3.76,0.9
Jowar,6.91,0.76,0.35,188,41,288,23,1.09,9.64,0.19,1.54,1.47
Cotton,7.29,0.61,1.15,600,5,513,47,0.76,8.9,1.35,5.16,1.32
Onion,6.33,0.76,1.18,375,27,284,19,1.57,8.71,0.57,1.21,1.43
Cotton,7.47,0.2,0.55,523,29,533,17,0.72,9.96,0.86,7.22,1.46
Rice,6.35,1.28,0.69,548,37,198,59,1.0,2.29,0.88,7.79,1.0
Gram,5.87,0.89,0.89,296,29,381,40,1.64,9.66,1.84,1.21,1.28
Gram,5.88,0.89,0.55,599,10,515,5,1.74,8.85,1.08,7.71,0.8
Wheat,7.03,0.62,0.24,567,16,544,55,1.96,6.7,0.24,7.38,1.25
Rice,6.99,0.58,0.76,579,28,450,40,0.62,8.62,0.47,6.13,0.4
Grapes,7.4,0.71,0.93,588,11,249,19,1.87,6.18,0.39,5.9,1.38
Groundnut,6.14,0.81,0.57,379,32,565,17,1.25,2.22,1.22,1.56,0.2
Onion,6.41,1.12,0.55,409,8,342,6,1.63,9.24,1.38,7.45,1.34
Tomato,8.24,1.31,0.27,621,23,300,25,1.52,2.55,0.28,3.32,1.08
Sugarcane,7.09,1.23,0.35,319,30,504,18,1.96,7.41,1.53,5.36,1.35
Grapes,5.59,0.74,0.3,348,40,129,33,1.99,5.96,1.77,7.05,1.23
Groundnut,7.7,0.94,1.06,413,31,115,26,1.23,8.81,1.87,5.4,1.15
Wheat,7.08,1.08,1.09,392,26,556,27,1.93,7.22,0.69,3.65,0.15
Banana,7.84,0.45,0.78,190,24,260,31,0.57,6.16,0.48,4.6,1.43
Tomato,7.13,1.46,0.39,529,8,499,26,0.51,4.5,1.44,7.05,1.15
Gram,6.91,1.22,0.65,330,37,229,56,0.97,7.28,1.96,3.41,0.75
Sugarcane,5.82,0.82,0.39,348,6,440,20,1.58,6.95,0.99,4.65,1.41
Groundnut,6.42,1.24,0.8,463,36,413,47,0.92,4.92,0.94,5.8,1.31
Soybean,5.52,1.41,0.24,453,14,211,8,0.64,8.76,0.39,6.83,0.21
Sugarcane,6.98,0.51,0.96,528,10,356,17,1.09,3.14,0.39,1.41,1.4
Onion,7.32,0.56,0.74,440,32,429,18,1.56,4.44,1.51,6.05,1.22
Sugarcane,6.26,1.19,1.16,258,24,171,55,0.73,9.65,0.59,4.64,0.72
Groundnut,6.64,1.14,1.07,373,19,379,57,1.13,4.29,1.3,4.96,1.41
Onion,6.71,1.49,0.85,172,43,468,28,1.57,2.71,0.14,6.8,0.14
Grapes,6.52,1.38,0.62,213,7,505,54,1.1,8.34,1.77,4.56,1.3
Grapes,6.07,0.25,0.53,528,45,381,37,0.87,7.58,0.53,7.77,0.21
Sugarcane,6.36,0.37,0.95,288,6,264,47,1.38,4.48,0.52,1.46,0.8
Bajra,7.48,0.76,0.72,461,41,311,60,0.56,8.1,0.2,3.64,0.32
Sugarcane,6.34,1.04,0.63,516,19,109,23,1.43,9.49,1.46,2.27,0.47
Maize,5.56,1.31,1.01,169,22,343,13,0.77,2.93,0.56,4.32,0.11
Cotton,6.7,0.64,0.24,437,41,323,46,1.92,4.1,0.23,4.06,0.74
Groundnut,6.77,0.91,1.18,277,35,287,18,1.72,8.64,0.82,2.41,0.53
Soybean,5.5,1.44,0.64,320,22,213,20,0.61,6.29,0.88,6.83,0.68
Soybean,7.86,1.41,0.87,415,24,429,51,1.04,3.37,0.76,5.03,1.1
Wheat,6.33,1.36,0.29,290,28,318,18,1.94,4.98,0.44,3.01,1.4
Grapes,7.39,0.53,0.59,464,6,153,31,1.85,9.11,1.7,5.89,1.11
Groundnut,7.63,0.72,1.11,538,14,599,25,1.92,8.99,1.94,3.81,0.42
Maize,6.93,0.55,0.72,309,14,198,20,1.58,8.52,0.41,2.09,1.39
Onion,7.72,0.72,0.77,443,32,212,35,0.97,8.03,1.94,3.0,0.85
Wheat,6.75,0.37,1.09,251,24,523,29,0.62,5.63,1.1,4.09,0.24
Wheat,5.93,0.99,0.94,496,43,522,41,0.39,3.57,1.06,7.82,1.31
Soybean,7.92,1.29,0.42,407,6,438,57,0.53,2.46,1.2,1.51,1.35
Jowar,5.66,0.93,0.62,284,44,357,40,1.42,6.09,1.81,7.61,0.75
Groundnut,7.47,0.89,1.14,405,16,165,55,0.69,7.96,1.43,7.75,0.12
Grapes,5.61,0.6,0.89,231,33,561,22,0.45,3.51,1.06,5.17,1.07
Tur,5.57,1.12,0.32,396,37,390,10,1.32,2.64,0.52,6.87,0.8
Wheat,5.63,0.62,0.6,474,28,124,15,1.18,6.58,0.35,7.65,1.19
Onion,6.6,1.33,1.13,330,20,399,46,1.95,2.07,1.96,7.55,0.6
Banana,7.42,0.33,0.84,301,31,216,49,1.91,7.56,1.26,4.28,1.36
Tur,7.98,0.86,0.4,387,20,539,19,1.59,8.43,1.48,3.07,0.12
Groundnut,5.83,1.0,1.13,357,14,376,8,1.2,3.45,0.3,1.17,1.09
Cotton,5.7,1.45,0.55,244,45,589,9,1.72,2.41,0.66,2.06,0.8
Sugarcane,6.88,0.13,0.27,557,23,261,42,1.22,8.77,0.76,7.16,0.51
Sugarcane,7.15,0.74,0.51,404,17,204,14,0.57,6.27,1.68,5.7,0.17
Bajra,5.71,0.43,0.36,190,19,380,53,0.74,3.24,1.82,1.36,1.47
Wheat,7.91,0.65,0.96,426,14,560,28,0.98,4.0,0.5,7.42,0.37
Sugarcane,7.19,0.94,0.28,491,6,526,20,1.4,8.11,1.36,6.7,1.28
Tomato,8.29,1.1,0.26,302,12,251,24,1.38,7.58,0.95,1.66,0.46
Maize,8.21,0.68,0.93,222,5,547,26,0.24,3.71,0.83,4.22,1.38
Soybean,7.17,1.45,1.14,587,11,157,59,1.5,6.43,0.93,5.17,0.21
Gram,6.79,0.12,0.4,519,5,200,17,1.79,2.38,1.32,1.12,0.48
Onion,5.69,0.4,1.13,328,31,325,33,1.9,4.28,0.45,6.82,0.77
Wheat,8.41,0.96,1.15,375,38,480,40,0.57,7.49,1.64,5.03,0.4
Wheat,6.3,0.71,0.34,298,29,504,53,0.46,3.4,1.51,3.5,0.41
Soybean,5.59,1.09,0.24,629,29,396,57,0.86,6.92,1.55,2.01,0.59
Groundnut,7.24,0.57,0.99,389,23,431,32,0.31,5.33,0.11,2.79,0.39
Grapes,8.07,0.6,0.67,468,30,318,39,0.77,7.96,1.82,1.57,0.94
Rice,6.77,0.59,1.09,186,45,495,49,1.59,4.91,0.92,1.89,1.06
Cotton,7.41,1.36,0.74,365,40,455,8,0.48,6.12,1.76,4.99,1.48
Sugarcane,6.75,0.82,0.56,211,12,521,14,1.55,9.79,1.89,7.64,1.06
Grapes,5.5,0.26,0.6,574,38,360,7,0.74,2.36,1.05,4.5,1.48
Wheat,5.7,1.43,0.49,345,5,112,5,1.29,6.94,1.9,6.48,1.35
Gram,7.31,0.5,1.01,552,44,330,54,0.56,6.3,0.2,5.18,0.19
Tur,7.64,1.03,0.77,312,24,156,10,0.99,9.87,0.32,5.71,0.69
Wheat,7.84,1.02,0.63,453,7,380,36,1.85,2.1,1.79,7.38,1.35
Gram,7.81,0.82,0.66,289,21,420,16,0.72,9.46,1.05,6.43,0.55
Gram,7.96,0.33,0.82,528,13,600,27,1.4,5.01,1.81,4.93,1.28
Maize,7.92,0.35,0.69,573,14,582,38,0.22,7.77,0.25,1.26,0.89
Wheat,6.23,0.71,0.59,441,12,318,56,0.96,2.06,0.65,3.52,1.31
Groundnut,8.38,0.36,0.86,343,21,367,33,0.23,8.48,1.28,4.85,0.33
Rice,6.09,0.66,0.54,418,25,425,41,0.86,9.85,0.29,3.74,0.51
Grapes,6.76,0.79,0.32,585,24,427,30,1.27,8.18,1.58,5.72,0.95
Grapes,6.52,1.49,0.49,461,7,548,13,0.47,9.45,1.17,5.08,1.19
Gram,8.4,0.78,0.22,172,37,579,49,1.72,5.99,1.42,6.12,0.25
Cotton,5.76,1.21,1.16,268,30,538,5,1.01,9.22,1.0,4.27,0.39
Maize,7.17,1.27,0.61,446,20,546,59,1.26,9.55,1.43,5.55,1.01
Onion,6.56,1.37,0.39,286,17,547,21,1.91,5.44,0.31,7.82,0.57
Soybean,6.07,0.52,0.21,580,21,138,35,1.01,8.66,0.58,6.58,0.66
Sugarcane,7.5,0.53,0.48,261,8,495,49,1.22,6.59,0.14,1.32,0.33
Cotton,5.76,0.84,0.53,176,38,320,41,0.76,9.22,0.91,3.24,0.48
Grapes,6.28,0.81,0.67,188,22,258,23,0.28,8.51,1.45,4.17,0.44
Gram,6.61,0.72,0.86,639,18,405,54,0.77,5.69,1.33,1.57,0.19
Groundnut,5.65,1.32,0.67,205,6,424,30,0.25,9.12,1.16,2.36,0.9
Wheat,8.19,0.7,0.57,240,14,367,53,1.72,3.26,0.23,7.07,0.86
Tur,8.41,0.29,0.97,316,36,315,53,0.48,8.92,1.31,1.18,1.4
Sugarcane,7.97,0.15,0.73,459,20,236,42,1.52,3.28,1.32,4.38,0.3
Gram,8.19,1.18,0.23,501,17,543,44,0.2,3.19,0.11,5.84,1.24
Maize,6.01,0.83,1.07,476,35,129,27,1.69,8.89,0.1,5.49,0.73
Grapes,5.59,0.72,0.63,426,35,418,49,1.55,4.44,1.19,5.43,0.22
Maize,6.43,0.14,1.18,184,28,226,37,1.49,7.46,1.82,3.7,1.3
Cotton,6.8,1.22,0.31,528,10,395,11,1.62,8.77,0.14,1.94,0.39
Jowar,8.07,0.9,0.98,210,30,210,53,0.95,5.83,0.34,7.1,1.44
Grapes,7.43,0.55,1.12,223,15,167,5,1.55,4.67,1.79,3.0,0.26
Gram,7.37,1.33,1.1,404,22,148,32,0.76,6.34,0.4,3.89,0.43
Wheat,8.02,0.8,1.05,403,30,539,26,1.15,5.77,0.17,4.31,1.12
Onion,6.21,1.13,0.23,160,10,590,58,1.59,9.45,0.85,5.06,0.31
Tomato,6.44,0.64,0.73,441,40,199,36,1.33,7.56,0.88,2.38,0.39
Bajra,6.55,1.13,1.02,603,28,171,42,0.93,5.34,0.73,3.54,0.88
Tur,5.55,0.39,0.99,271,26,471,50,0.88,3.99,1.73,2.98,1.42
Jowar,6.77,1.25,0.84,519,33,281,5,0.61,4.42,1.7,3.6,0.82
Tomato,6.11,0.35,0.6,268,30,408,11,1.97,9.05,1.64,7.74,1.29
Banana,5.57,0.47,1.05,627,18,391,45,0.71,9.37,0.8,3.7,0.5
Wheat,7.18,0.3,1.14,507,27,235,12,1.67,3.61,1.68,3.02,0.61
Cotton,6.26,0.26,0.49,394,9,280,40,1.98,2.07,1.85,7.71,0.85
Cotton,7.05,0.62,0.98,199,45,447,51,1.49,7.75,1.71,4.39,1.25
Jowar,8.46,0.22,0.64,290,45,401,40,1.22,3.27,1.47,4.79,0.49
Tomato,5.51,1.01,0.99,297,44,483,16,0.44,7.29,1.38,7.65,1.04
Bajra,6.61,0.42,0.3,546,6,228,15,1.93,5.08,1.49,6.9,0.5
Soybean,7.15,0.73,0.63,536,24,279,12,1.3,2.53,0.59,1.26,1.34
Sugarcane,8.33,0.14,0.32,175,41,302,45,1.76,6.35,0.22,5.61,0.26
Tur,7.92,0.16,0.7,488,45,518,12,0.47,8.21,0.11,5.72,0.28
Rice,7.91,0.48,0.52,413,33,448,40,1.69,8.44,1.57,3.51,1.03
Grapes,8.25,0.18,0.54,179,12,301,5,1.33,5.66,1.9,5.32,0.26
Banana,6.67,0.16,0.71,322,16,303,7,1.88,8.99,1.25,7.83,0.84
Soybean,6.91,0.48,0.33,191,16,550,25,1.82,6.35,1.89,4.61,0.18
Onion,6.97,0.6,0.51,245,32,344,11,1.73,5.29,1.34,4.83,1.32
Gram,7.5,0.15,0.85,483,43,382,5,1.6,6.05,1.74,4.69,0.43
Rice,7.23,0.33,0.29,472,25,441,35,1.47,2.96,1.35,2.23,0.33
Rice,8.08,0.31,0.78,480,14,358,52,0.28,4.01,0.73,6.8,0.15
Rice,5.96,1.06,0.75,597,22,311,8,0.99,8.84,0.97,5.05,0.77
Grapes,8.29,0.75,0.83,606,21,335,42,0.89,7.06,1.65,7.92,0.86
Tomato,6.6,0.99,0.43,494,20,116,51,0.54,4.75,0.39,4.07,0.61
Banana,7.37,0.4,0.99,271,41,455,11,0.99,4.82,0.35,5.52,0.43
Onion,7.2,0.61,0.4,247,29,443,43,0.49,4.45,1.63,2.4,0.2
Bajra,5.8,0.59,0.72,312,7,495,26,1.98,3.87,0.51,5.13,0.58
Cotton,6.1,0.41,0.81,178,29,403,13,1.73,3.08,1.46,3.16,0.85
Sugarcane,6.79,0.25,0.75,473,35,371,58,1.41,4.27,0.78,4.49,0.34
Banana,8.31,0.56,0.51,166,35,593,15,0.64,3.8,0.62,7.64,1.4
Onion,6.07,1.49,0.54,462,44,116,19,0.31,8.62,1.22,1.36,1.25
Wheat,8.36,1.2,1.11,280,42,446,18,1.85,8.46,0.13,1.57,0.69
Soybean,5.71,1.27,0.83,331,11,163,43,1.74,8.98,0.12,5.99,0.35
Onion,6.45,1.33,0.75,170,43,568,9,1.47,4.8,1.94,1.42,0.73
Groundnut,7.6,0.19,0.3,366,14,195,57,0.74,3.07,1.28,1.25,0.24
Tomato,8.33,0.21,0.68,590,32,115,21,0.52,5.9,1.07,2.9,0.83
Rice,6.85,1.25,0.74,210,37,597,20,1.16,7.27,0.16,1.86,1.1
Soybean,7.62,0.86,0.2,492,34,583,43,0.33,3.31,1.51,5.13,0.68
Banana,5.65,0.2,1.04,319,19,573,40,0.2,3.58,1.12,2.83,0.52
Maize,8.16,0.27,0.82,483,24,591,18,0.32,8.84,1.82,1.57,0.34
Soybean,5.84,1.29,1.02,587,27,213,20,0.28,3.63,0.95,7.79,1.09
Onion,5.55,0.39,0.41,318,40,228,45,1.86,4.37,1.52,5.52,0.7
Maize,7.97,0.63,0.35,554,45,399,30,0.65,4.85,1.08,4.37,0.1
Sugarcane,8.3,0.58,1.07,194,26,168,50,0.81,9.27,0.36,2.67,0.84
Wheat,7.33,0.77,0.22,627,36,213,36,0.65,8.14,0.68,2.84,1.08
Grapes,6.86,0.38,0.22,185,21,348,7,1.23,4.8,0.89,5.48,0.35
Banana,5.88,1.5,0.46,462,37,582,17,1.94,6.68,0.42,2.21,0.16
Banana,7.34,0.23,0.78,208,21,549,37,0.77,5.62,1.18,7.58,1.08
Wheat,7.56,1.0,0.38,191,17,506,49,0.6,5.19,1.68,5.12,0.27
Groundnut,6.04,1.17,0.22,545,16,559,26,1.75,2.42,1.08,5.16,0.5
Rice,6.53,0.52,1.05,279,18,190,27,1.02,2.11,1.48,5.63,1.35
Maize,7.72,1.19,0.41,568,24,244,21,1.04,9.44,0.21,3.86,1.45
Groundnut,6.48,1.24,0.38,430,28,210,59,0.24,6.44,1.45,1.92,0.39
Cotton,8.47,0.28,0.61,437,13,598,30,0.93,8.77,1.84,2.69,0.94
Banana,6.0,1.08,0.24,416,30,430,21,0.91,8.91,0.72,6.71,0.3
Tomato,8.05,1.48,1.19,180,43,263,34,1.9,8.18,1.96,1.01,0.95
Rice,7.27,0.8,0.56,516,5,446,31,0.8,3.19,1.0,3.44,0.63
Onion,8.29,1.0,1.07,247,25,225,12,1.82,6.82,0.12,7.48,1.12
Bajra,7.84,0.72,0.8,151,35,302,41,1.11,3.21,0.51,2.96,1.3
Grapes,7.38,1.3,0.88,222,45,458,59,0.34,7.23,0.3,4.94,0.24
Bajra,8.4,1.43,0.44,648,31,145,42,1.5,6.49,1.85,6.76,0.77
Wheat,6.25,1.46,0.25,642,10,179,42,1.21,6.15,0.8,5.05,0.27
Cotton,6.42,0.76,0.82,208,25,553,36,1.06,4.24,0.56,2.65,0.64
Sugarcane,8.36,0.97,0.63,299,8,334,59,1.47,6.38,1.97,5.25,0.45
Maize,7.42,0.94,0.37,553,29,165,41,1.17,2.94,0.96,5.78,0.62
Rice,6.74,1.5,1.08,347,30,348,10,1.7,4.8,0.65,4.16,0.9
Bajra,8.34,1.0,0.8,628,6,244,40,0.81,4.89,0.83,7.15,0.79
Rice,8.39,0.85,1.12,562,35,453,44,1.79,6.9,0.85,6.1,0.19
Tur,7.07,0.16,0.66,398,38,232,36,0.83,8.89,1.72,7.64,0.6
Soybean,7.9,0.58,0.56,644,20,152,40,1.23,5.24,1.67,5.37,0.3
Jowar,7.73,0.47,0.9,648,42,281,18,0.71,9.8,0.82,4.04,0.79
Banana,6.54,1.44,0.96,424,43,354,28,1.11,8.62,0.46,4.31,1.29
Gram,6.28,0.23,0.82,186,13,411,44,1.58,6.69,1.06,5.75,0.57
Sugarcane,7.62,1.19,0.62,385,17,509,60,1.5,9.67,1.28,4.46,0.1
Cotton,8.1,0.15,0.72,216,16,363,38,1.93,6.56,0.23,4.16,0.51
Jowar,7.43,1.11,0.83,265,33,181,43,1.96,6.65,1.47,3.31,0.4
Bajra,8.48,1.4,0.8,179,12,474,36,0.66,4.14,1.08,7.89,0.65
Tomato,8.39,0.85,0.51,233,45,277,58,1.17,5.94,1.42,5.56,0.33
Rice,8.45,0.79,0.72,532,41,342,9,0.24,4.54,0.7,6.06,1.35
Bajra,7.61,0.93,0.59,293,16,306,55,0.93,8.87,0.72,1.18,0.75
Onion,6.81,1.48,1.14,236,27,416,35,1.16,8.18,1.33,3.32,0.42
Grapes,6.8,0.72,0.41,220,21,235,19,0.66,5.28,1.9,1.01,0.51
Grapes,6.68,0.35,0.25,322,40,257,31,0.7,5.35,1.5,7.0,0.64
Gram,6.35,0.9,0.66,419,33,400,38,1.31,4.63,0.3,2.22,1.19
Bajra,6.77,0.77,0.79,440,39,430,38,1.96,8.13,1.57,4.4,0.68
Soybean,7.36,0.89,1.15,648,23,146,33,0.81,6.35,0.9,4.64,0.51
Rice,7.28,0.29,0.6,317,11,419,51,1.55,4.85,1.99,6.96,0.29
Soybean,7.2,0.36,0.69,245,11,376,29,0.91,7.16,1.34,7.42,1.4
Banana,8.05,0.49,0.66,639,29,300,22,1.15,9.78,0.96,1.81,0.7
Maize,6.31,0.47,0.74,215,43,123,40,0.81,9.99,0.25,2.65,0.8
Tur,5.51,1.0,0.4,183,42,193,44,1.79,6.07,0.55,4.72,0.14
Grapes,7.55,0.53,0.55,503,33,592,51,0.91,3.62,1.75,7.18,1.14
Wheat,6.87,0.5,1.04,636,39,503,12,0.25,6.18,0.41,5.63,0.8
Onion,6.47,0.26,1.11,373,9,435,21,1.69,3.3,1.55,5.71,0.34
Groundnut,7.15,0.89,0.8,316,41,576,45,0.53,2.64,0.75,2.13,1.0
Jowar,5.89,0.76,0.99,337,35,255,43,0.65,5.16,0.48,1.74,0.93
Soybean,7.0,0.62,0.9,354,7,307,50,1.09,6.03,0.42,4.06,0.41
Sugarcane,7.41,0.6,0.36,374,31,173,25,1.7,5.42,1.14,6.73,0.24
Cotton,7.53,0.12,0.43,285,8,297,50,1.69,9.83,1.15,3.9,0.82
Gram,7.87,0.14,0.46,222,18,268,31,1.6,9.54,1.87,3.58,0.34
Soybean,6.54,0.18,0.44,245,35,521,13,0.45,4.6,0.94,2.51,0.57
Bajra,8.3,1.39,0.7,625,32,161,38,0.89,6.31,1.14,3.91,0.93
Rice,8.18,1.0,0.43,416,29,559,13,0.28,8.27,1.96,2.1,1.34
Groundnut,6.98,0.27,0.76,270,19,597,25,0.52,5.14,0.85,1.65,1.33
Soybean,7.45,0.68,0.97,412,36,277,25,0.28,4.56,1.14,2.22,1.23
